"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-04-25","14.09","0.00","0.0","0.0",,"86","63","27.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-04-26","14.09","0.00","0.0","0.0",,"92","66","32.0",,,,,"    1"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-04-27","10.07","0.00","0.0","0.0",,"82","55","23.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-04-28","15.66","0.00","0.0","0.0",,"91","74","33.1","    1",,,,"    1"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-04-29","20.58","0.03","0.0","0.0",,"87","62","40.9","    1",,,,"    1"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-04-30","8.50","0.00","0.0","0.0",,"76","54","27.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-01","7.83","0.00","0.0","0.0",,"88","51","23.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-02","9.84","0.00","0.0","0.0",,"87","59","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-03","13.42","0.51","0.0","0.0",,"86","64","34.0","    1",,"    1",,"    1"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-04","11.63","0.00","0.0","0.0",,"76","55","38.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-05","7.61","0.00","0.0","0.0",,"81","52","27.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-06","2.91","0.00","0.0","0.0",,"85","53","15.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-07","7.16","0.00","0.0","0.0",,"84","59","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-08","10.74","0.00","0.0","0.0",,"84","66","28.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-09","10.96","0.00","0.0","0.0",,"84","70","27.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-10","12.08","0.00","0.0","0.0",,"85","71","28.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-11","11.18","0.00","0.0","0.0",,"87","73","27.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-12","10.07","0.00","0.0","0.0",,"86","69","28.0","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-13","6.93","0.00","0.0","0.0",,"89","61","17.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-14","5.82","0.00","0.0","0.0",,"89","64","19.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-15","8.28","0.00","0.0","0.0",,"88","60","23.9","    1","    1",,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-16","14.54","0.00","0.0","0.0",,"88","71","30.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-17","13.20","0.00","0.0","0.0",,"88","75","28.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-18","15.43","0.00","0.0","0.0",,"90","78","32.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-19","15.88","0.06","0.0","0.0",,"91","78","31.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-20","9.40","0.00","0.0","0.0",,"91","76","21.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-21","7.61","0.52","0.0","0.0",,"91","74","25.9","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-22","10.96","1.26","0.0","0.0",,"81","70","27.1","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-23","8.05","0.50","0.0","0.0",,"89","63","33.1","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-24","7.38","0.00","0.0","0.0",,"84","58","30.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-25","11.41","0.00","0.0","0.0",,"90","61","30.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-26","11.41","0.00","0.0","0.0",,"89","73","25.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-27","12.75","0.00","0.0","0.0",,"93","79","30.0","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-28","10.29","1.46","0.0","0.0",,"91","71","25.9","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-29","4.92","0.30","0.0","0.0",,"84","71","25.9","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-30","6.71","0.00","0.0","0.0",,"91","71","18.1",,,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-05-31","7.38","0.33","0.0","0.0",,"90","72","27.1","    1",,"    1",,
