"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-04-20","2.24","0.00","63","30","12.1","15.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-04-21","6.49","0.00","71","30","23.9","40.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-04-22","5.37","0.00","60","35","12.1","15.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-04-23","5.14","0.00","63","29","12.1","15.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-04-24","9.40","0.49","63","48","16.1","21.9","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-04-25","11.41","0.42","54","46","19.9","28.0","    1","    1",,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-04-26","12.97","0.21","66","46","25.9","36.0","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-04-27","9.62","0.00","54","35","23.0","31.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-04-28","4.70","0.00","61","26","15.0","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-04-29","7.16","0.00","65","28","19.9","25.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-04-30","10.51","0.00","80","49","23.0","33.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-01","9.17","0.41","74","61","23.9","30.0","    1",,"    1",,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-02","8.05","0.88","75","60","18.1","28.0","    1",,"    1",,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-03","9.17","0.02","74","49","23.0","32.0",,,"    1",,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-04","8.72","0.01","72","44","23.9","32.0","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-05","9.40","0.03","77","47","21.9","29.1",,,"    1",,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-06","7.61","0.00","65","44","18.1","29.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-07","7.61","0.96","60","48","19.9","25.1","    1",,"    1",,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-08",,"0.03",,,"35.1","42.9","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-09",,"0.00",,,"16.1","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-10","5.37","0.00","57","30","13.0","18.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-11","10.74","1.07","47","43","21.9","30.0","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-12","5.82","0.00","50","42","13.0","16.1","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-13","6.49","0.57","67","45","15.0","21.0","    1","    1","    1","    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-14","11.63","0.01","67","41","28.0","36.0","    1","    1",,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-15","5.37","0.00","66","39","13.0","25.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-16","6.93","0.00","64","43","16.1","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-17","10.07","0.31","63","47","17.0","23.9","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-18","8.95","0.16","60","42","18.1","28.0","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-19","4.47","0.00","74","39","13.0","17.0","    1","    1",,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-20","2.24","0.00","79","41","10.1","14.1","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-21","6.49","1.14","71","57","21.0","31.1","    1",,"    1",,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-22","2.46","0.02","75","57","12.1","15.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-23","3.13","0.01","82","50","12.1","14.1","    1","    1",,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-24","4.70","0.00","83","58","14.1","18.1","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-25","3.58","0.00","82","59","12.1","15.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-26","1.34","0.00","89","56","10.1","13.0","    1","    1",,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-27","5.82","0.00","85","60","15.0","35.1","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-28","5.82","0.00","85","58","15.0","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-29","4.92","0.00","85","56","14.1","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-30","2.68","0.00","86","52","8.9","16.1","    1","    1",,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-05-31","3.80","1.63","86","57","36.0","42.9","    1",,"    1","    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-01","4.25","0.00","80","57","12.1","17.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-02","5.59","0.48","74","55","31.1","40.9","    1",,"    1","    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-03","4.92","0.00","77","58","14.1","18.1","    1","    1",,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-04","4.03","0.04","81","57","21.9","32.0","    1",,"    1","    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-06","6.71","0.01","78","57","21.9","29.1","    1",,"    1","    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-07","5.59","0.00","70","48","14.1","19.9","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-08","4.92","0.25","69","44","14.1","19.9","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-09","8.72","0.04","79","57","21.0","25.1","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-10","7.61","0.00","77","58","17.0","25.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-11","5.82","0.00","80","62","14.1","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-12","7.61","0.02","86","68","14.1","16.1","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-13","5.59","0.00","75","63","13.0","17.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-14","3.80","0.03","80","64","14.1","17.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-15","8.28","0.00","77","65","16.1","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-16","13.87","0.09","80","67","25.1","36.0","    1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-17","4.92","0.00","76","55","12.1","17.0",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-18","6.71","0.77","88","52","36.0","46.1","    1",,"    1","    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-19","8.50","0.01","84","61","19.9","23.9","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-20","6.04","0.00","80","58","15.0","21.9","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-21","4.70","0.00","81","57","12.1","21.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-22","8.05","0.80","85","65","23.0","32.0","    1",,"    1","    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-23","7.83","0.79","86","61","23.9","32.0","    1",,"    1",,
