"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT21","WT22"
"USW00013722","RALEIGH AIRPORT, NC US","2010-03-21","8.95","0.00","0.0","0.0","69","52","17.9","25.1",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-03-22","14.54","0.00","0.0","0.0","66","44","25.9","32.0",,,,,"    1",,,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-03-23","11.63","0.01","0.0","0.0","66","39","21.9","30.0",,,,,"    1",,,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-03-24","4.70","0.00","0.0","0.0","74","39","15.0","21.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-03-25","9.62","0.00","0.0","0.0","76","49","21.0","28.0",,,,,"    1",,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-03-26","8.95","0.06","0.0","0.0","67","36","19.9","30.0","    1",,,,"    1",,,,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-03-27","6.04","0.00","0.0","0.0","58","32","15.0","21.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-03-28","11.63","0.09","0.0","0.0","69","38","28.0","42.9","    1",,,,"    1",,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-03-29","3.80","1.52","0.0","0.0","67","52","13.0","19.9","    1",,"    1",,"    1",,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-03-30","7.83","0.00","0.0","0.0","69","51","17.9","29.1",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-03-31","4.47","0.00","0.0","0.0","77","41","14.1","21.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-04-01","2.46","0.00","0.0","0.0","84","43","10.1","13.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-04-02","4.70","0.00","0.0","0.0","88","54","14.1","19.9",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-04-03","7.83","0.00","0.0","0.0","80","55","16.1","21.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-04-04","3.58","0.00","0.0","0.0","83","58","13.0","17.0",,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2010-04-05","6.71","0.00","0.0","0.0","88","58","16.1","21.9",,,,,,,,,,,,,,,,,
